Joshua 19:35	And the fenced cities [are] Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
Judges 18:18	And these went into Micah’s house, and fetched the carved image, the ephod, and the teraphim, and the molten image. Then said the priest unto them, What do ye?
Judges 18:19	And they said unto him, Hold thy peace, lay thine hand upon thy mouth, and go with us, and be to us a father and a priest: [is it] better for thee to be a priest unto the house of one man, or that thou be a priest unto a tribe and a family in Israel?
Judges 18:20	And the priest’s heart was glad, and he took the ephod, and the teraphim, and the graven image, and went in the midst of the people.
Judges 18:21	So they turned and departed, and put the little ones and the cattle and the carriage before them.
Judges 18:22	[And] when they were a good way from the house of Micah, the men that [were] in the houses near to Micah’s house were gathered together, and overtook the children of Dan.
Judges 18:23	And they cried unto the children of Dan. And they turned their faces, and said unto Micah, What aileth thee, that thou comest with such a company?
Judges 18:24	And he said, Ye have taken away my gods which I made, and the priest, and ye are gone away: and what have I more? and what [is] this [that] ye say unto me, What aileth thee?
Judges 18:25	And the children of Dan said unto him, Let not thy voice be heard among us, lest angry fellows run upon thee, and thou lose thy life, with the lives of thy household.
Judges 18:26	And the children of Dan went their way: and when Micah saw that they [were] too strong for him, he turned and went back unto his house.
Judges 18:27	And they took [the things] which Micah had made, and the priest which he had, and came unto Laish, unto a people [that were] at quiet and secure: and they smote them with the edge of the sword, and burnt the city with fire.
Judges 18:28	And [there was] no deliverer, because it [was] far from Zidon, and they had no business with [any] man; and it was in the valley that [lieth] by Bethrehob. And they built a city, and dwelt therein.
Judges 18:29	And they called the name of the city Dan, after the name of Dan their father, who was born unto Israel: howbeit the name of the city [was] Laish at the first.
Judges 18:30	And the children of Dan set up the graven image: and Jonathan, the son of Gershom, the son of Manasseh, he and his sons were priests to the tribe of Dan until the day of the captivity of the land.
Judges 18:31	And they set them up Micah’s graven image, which he made, all the time that the house of God was in Shiloh.
Judges 19:1	And it came to pass in those days, when [there was] no king in Israel, that there was a certain Levite sojourning on the side of mount Ephraim, who took to him a concubine out of Bethlehemjudah.
Judges 19:2	And his concubine played the whore against him, and went away from him unto her father’s house to Bethlehemjudah, and was there four whole months.
Judges 19:3	And her husband arose, and went after her, to speak friendly unto her, [and] to bring her again, having his servant with him, and a couple of asses: and she brought him into her father’s house: and when the father of the damsel saw him, he rejoiced to meet him.
Judges 19:4	And his father in law, the damsel’s father, retained him; and he abode with him three days: so they did eat and drink, and lodged there.
Judges 19:5	And it came to pass on the fourth day, when they arose early in the morning, that he rose up to depart: and the damsel’s father said unto his son in law, Comfort thine heart with a morsel of bread, and afterward go your way.
Judges 19:6	And they sat down, and did eat and drink both of them together: for the damsel’s father had said unto the man, Be content, I pray thee, and tarry all night, and let thine heart be merry.
Judges 19:7	And when the man rose up to depart, his father in law urged him: therefore he lodged there again.
Judges 19:8	And he arose early in the morning on the fifth day to depart: and the damsel’s father said, Comfort thine heart, I pray thee. And they tarried until afternoon, and they did eat both of them.
Judges 19:9	And when the man rose up to depart, he, and his concubine, and his servant, his father in law, the damsel’s father, said unto him, Behold, now the day draweth toward evening, I pray you tarry all night: behold, the day groweth to an end, lodge here, that thine heart may be merry; and to morrow get you early on your way, that thou mayest go home.
Judges 19:10	But the man would not tarry that night, but he rose up and departed, and came over against Jebus, which [is] Jerusalem; and [there were] with him two asses saddled, his concubine also [was] with him.
Judges 19:11	[And] when they [were] by Jebus, the day was far spent; and the servant said unto his master, Come, I pray thee, and let us turn in into this city of the Jebusites, and lodge in it.
Judges 19:12	And his master said unto him, We will not turn aside hither into the city of a stranger, that [is] not of the children of Israel; we will pass over to Gibeah.
Judges 19:13	And he said unto his servant, Come, and let us draw near to one of these places to lodge all night, in Gibeah, or in Ramah.
Judges 19:14	And they passed on and went their way; and the sun went down upon them [when they were] by Gibeah, which [belongeth] to Benjamin.
Judges 19:15	And they turned aside thither, to go in [and] to lodge in Gibeah: and when he went in, he sat him down in a street of the city: for [there was] no man that took them into his house to lodging.
Judges 19:16	And, behold, there came an old man from his work out of the field at even, which [was] also of mount Ephraim; and he sojourned in Gibeah: but the men of the place [were] Benjamites.
Judges 19:17	And when he had lifted up his eyes, he saw a wayfaring man in the street of the city: and the old man said, Whither goest thou? and whence comest thou?
Judges 19:18	And he said unto him, We [are] passing from Bethlehemjudah toward the side of mount Ephraim; from thence [am] I: and I went to Bethlehemjudah, but I [am now] going to the house of the LORD; and there [is] no man that receiveth me to house.
Judges 19:19	Yet there is both straw and provender for our asses; and there is bread and wine also for me, and for thy handmaid, and for the young man [which is] with thy servants: [there is] no want of any thing.
Judges 19:20	And the old man said, Peace [be] with thee; howsoever [let] all thy wants [lie] upon me; only lodge not in the street.
Judges 19:21	So he brought him into his house, and gave provender unto the asses: and they washed their feet, and did eat and drink.
Judges 19:22	[Now] as they were making their hearts merry, behold, the men of the city, certain sons of Belial, beset the house round about, [and] beat at the door, and spake to the master of the house, the old man, saying, Bring forth the man that came into thine house, that we may know him.
Judges 19:23	And the man, the master of the house, went out unto them, and said unto them, Nay, my brethren, [nay], I pray you, do not [so] wickedly; seeing that this man is come into mine house, do not this folly.
Judges 19:24	Behold, [here is] my daughter a maiden, and his concubine; them I will bring out now, and humble ye them, and do with them what seemeth good unto you: but unto this man do not so vile a thing.
Judges 19:25	But the men would not hearken to him: so the man took his concubine, and brought her forth unto them; and they knew her, and abused her all the night until the morning: and when the day began to spring, they let her go.
Judges 19:26	Then came the woman in the dawning of the day, and fell down at the door of the man’s house where her lord [was], till it was light.
Judges 19:27	And her lord rose up in the morning, and opened the doors of the house, and went out to go his way: and, behold, the woman his concubine was fallen down [at] the door of the house, and her hands [were] upon the threshold.
Judges 19:28	And he said unto her, Up, and let us be going. But none answered. Then the man took her [up] upon an ass, and the man rose up, and gat him unto his place.
Judges 19:29	And when he was come into his house, he took a knife, and laid hold on his concubine, and divided her, [together] with her bones, into twelve pieces, and sent her into all the coasts of Israel.
Judges 19:30	And it was so, that all that saw it said, There was no such deed done nor seen from the day that the children of Israel came up out of the land of Egypt unto this day: consider of it, take advice, and speak [your minds].
Judges 20:1	Then all the children of Israel went out, and the congregation was gathered together as one man, from Dan even to Beersheba, with the land of Gilead, unto the LORD in Mizpeh.
Judges 20:2	And the chief of all the people, [even] of all the tribes of Israel, presented themselves in the assembly of the people of God, four hundred thousand footmen that drew sword.
Judges 20:3	(Now the children of Benjamin heard that the children of Israel were gone up to Mizpeh.) Then said the children of Israel, Tell [us], how was this wickedness?
Judges 20:4	And the Levite, the husband of the woman that was slain, answered and said, I came into Gibeah that [belongeth] to Benjamin, I and my concubine, to lodge.
Judges 20:5	And the men of Gibeah rose against me, and beset the house round about upon me by night, [and] thought to have slain me: and my concubine have they forced, that she is dead.
Judges 20:6	And I took my concubine, and cut her in pieces, and sent her throughout all the country of the inheritance of Israel: for they have committed lewdness and folly in Israel.
Judges 20:7	Behold, ye [are] all children of Israel; give here your advice and counsel.
Judges 20:8	And all the people arose as one man, saying, We will not any [of us] go to his tent, neither will we any [of us] turn into his house.
Judges 20:9	But now this [shall be] the thing which we will do to Gibeah; [we will go up] by lot against it;
Judges 20:10	And we will take ten men of an hundred throughout all the tribes of Israel, and an hundred of a thousand, and a thousand out of ten thousand, to fetch victual for the people, that they may do, when they come to Gibeah of Benjamin, according to all the folly that they have wrought in Israel.
Judges 20:11	So all the men of Israel were gathered against the city, knit together as one man.
Judges 20:12	And the tribes of Israel sent men through all the tribe of Benjamin, saying, What wickedness [is] this that is done among you?
Judges 20:13	Now therefore deliver [us] the men, the children of Belial, which [are] in Gibeah, that we may put them to death, and put away evil from Israel. But the children of Benjamin would not hearken to the voice of their brethren the children of Israel:
Judges 20:14	But the children of Benjamin gathered themselves together out of the cities unto Gibeah, to go out to battle against the children of Israel.
Judges 20:15	And the children of Benjamin were numbered at that time out of the cities twenty and six thousand men that drew sword, beside the inhabitants of Gibeah, which were numbered seven hundred chosen men.
Judges 20:16	Among all this people [there were] seven hundred chosen men lefthanded; every one could sling stones at an hair [breadth], and not miss.
Judges 20:17	And the men of Israel, beside Benjamin, were numbered four hundred thousand men that drew sword: all these [were] men of war.
Judges 20:18	And the children of Israel arose, and went up to the house of God, and asked counsel of God, and said, Which of us shall go up first to the battle against the children of Benjamin? And the LORD said, Judah [shall go up] first.
Judges 20:19	And the children of Israel rose up in the morning, and encamped against Gibeah.
Judges 20:20	And the men of Israel went out to battle against Benjamin; and the men of Israel put themselves in array to fight against them at Gibeah.
Judges 20:21	And the children of Benjamin came forth out of Gibeah, and destroyed down to the ground of the Israelites that day twenty and two thousand men.
Judges 20:22	And the people the men of Israel encouraged themselves, and set their battle again in array in the place where they put themselves in array the first day.
Judges 20:23	(And the children of Israel went up and wept before the LORD until even, and asked counsel of the LORD, saying, Shall I go up again to battle against the children of Benjamin my brother? And the LORD said, Go up against him.)
Judges 20:24	And the children of Israel came near against the children of Benjamin the second day.
Judges 20:25	And Benjamin went forth against them out of Gibeah the second day, and destroyed down to the ground of the children of Israel again eighteen thousand men; all these drew the sword.
Judges 20:26	Then all the children of Israel, and all the people, went up, and came unto the house of God, and wept, and sat there before the LORD, and fasted that day until even, and offered burnt offerings and peace offerings before the LORD.
Judges 20:27	And the children of Israel inquired of the LORD, (for the ark of the covenant of God [was] there in those days,
Judges 20:28	And Phinehas, the son of Eleazar, the son of Aaron, stood before it in those days,) saying, Shall I yet again go out to battle against the children of Benjamin my brother, or shall I cease? And the LORD said, Go up; for to morrow I will deliver them into thine hand.
Judges 20:29	And Israel set liers in wait round about Gibeah.
Judges 20:30	And the children of Israel went up against the children of Benjamin on the third day, and put themselves in array against Gibeah, as at other times.
Judges 20:31	And the children of Benjamin went out against the people, [and] were drawn away from the city; and they began to smite of the people, [and] kill, as at other times, in the highways, of which one goeth up to the house of God, and the other to Gibeah in the field, about thirty men of Israel.
Judges 20:32	And the children of Benjamin said, They [are] smitten down before us, as at the first. But the children of Israel said, Let us flee, and draw them from the city unto the highways.
Judges 20:33	And all the men of Israel rose up out of their place, and put themselves in array at Baaltamar: and the liers in wait of Israel came forth out of their places, [even] out of the meadows of Gibeah.
Judges 20:34	And there came against Gibeah ten thousand chosen men out of all Israel, and the battle was sore: but they knew not that evil [was] near them.
Judges 20:35	And the LORD smote Benjamin before Israel: and the children of Israel destroyed of the Benjamites that day twenty and five thousand and an hundred men: all these drew the sword.
Judges 20:36	So the children of Benjamin saw that they were smitten: for the men of Israel gave place to the Benjamites, because they trusted unto the liers in wait which they had set beside Gibeah.
Judges 20:37	And the liers in wait hasted, and rushed upon Gibeah; and the liers in wait drew [themselves] along, and smote all the city with the edge of the sword.
Judges 20:38	Now there was an appointed sign between the men of Israel and the liers in wait, that they should make a great flame with smoke rise up out of the city.
Judges 20:39	And when the men of Israel retired in the battle, Benjamin began to smite [and] kill of the men of Israel about thirty persons: for they said, Surely they are smitten down before us, as [in] the first battle.
Judges 20:40	But when the flame began to arise up out of the city with a pillar of smoke, the Benjamites looked behind them, and, behold, the flame of the city ascended up to heaven.
Judges 20:41	And when the men of Israel turned again, the men of Benjamin were amazed: for they saw that evil was come upon them.
Judges 20:42	Therefore they turned [their backs] before the men of Israel unto the way of the wilderness; but the battle overtook them; and them which [came] out of the cities they destroyed in the midst of them.
Judges 20:43	[Thus] they inclosed the Benjamites round about, [and] chased them, [and] trode them down with ease over against Gibeah toward the sunrising.
Judges 20:44	And there fell of Benjamin eighteen thousand men; all these [were] men of valour.
Judges 20:45	And they turned and fled toward the wilderness unto the rock of Rimmon: and they gleaned of them in the highways five thousand men; and pursued hard after them unto Gidom, and slew two thousand men of them.
Judges 20:46	So that all which fell that day of Benjamin were twenty and five thousand men that drew the sword; all these [were] men of valour.
Judges 20:47	But six hundred men turned and fled to the wilderness unto the rock Rimmon, and abode in the rock Rimmon four months.
Judges 20:48	And the men of Israel turned again upon the children of Benjamin, and smote them with the edge of the sword, as well the men of [every] city, as the beast, and all that came to hand: also they set on fire all the cities that they came to.
Judges 21:1	Now the men of Israel had sworn in Mizpeh, saying, There shall not any of us give his daughter unto Benjamin to wife.
Judges 21:2	And the people came to the house of God, and abode there till even before God, and lifted up their voices, and wept sore;
Judges 21:3	And said, O LORD God of Israel, why is this come to pass in Israel, that there should be to day one tribe lacking in Israel?
Judges 21:4	And it came to pass on the morrow, that the people rose early, and built there an altar, and offered burnt offerings and peace offerings.
Judges 21:5	And the children of Israel said, Who [is there] among all the tribes of Israel that came not up with the congregation unto the LORD? For they had made a great oath concerning him that came not up to the LORD to Mizpeh, saying, He shall surely be put to death.
Judges 21:6	And the children of Israel repented them for Benjamin their brother, and said, There is one tribe cut off from Israel this day.
Judges 21:7	How shall we do for wives for them that remain, seeing we have sworn by the LORD that we will not give them of our daughters to wives?
Judges 21:8	And they said, What one [is there] of the tribes of Israel that came not up to Mizpeh to the LORD? And, behold, there came none to the camp from Jabeshgilead to the assembly.
Judges 21:9	For the people were numbered, and, behold, [there were] none of the inhabitants of Jabeshgilead there.
Judges 21:10	And the congregation sent thither twelve thousand men of the valiantest, and commanded them, saying, Go and smite the inhabitants of Jabeshgilead with the edge of the sword, with the women and the children.
Judges 21:11	And this [is] the thing that ye shall do, Ye shall utterly destroy every male, and every woman that hath lain by man.
Judges 21:12	And they found among the inhabitants of Jabeshgilead four hundred young virgins, that had known no man by lying with any male: and they brought them unto the camp to Shiloh, which [is] in the land of Canaan.
Judges 21:13	And the whole congregation sent [some] to speak to the children of Benjamin that [were] in the rock Rimmon, and to call peaceably unto them.
Judges 21:14	And Benjamin came again at that time; and they gave them wives which they had saved alive of the women of Jabeshgilead: and yet so they sufficed them not.
Judges 21:15	And the people repented them for Benjamin, because that the LORD had made a breach in the tribes of Israel.
Judges 21:16	Then the elders of the congregation said, How shall we do for wives for them that remain, seeing the women are destroyed out of Benjamin?
Judges 21:17	And they said, [There must be] an inheritance for them that be escaped of Benjamin, that a tribe be not destroyed out of Israel.
Judges 21:18	Howbeit we may not give them wives of our daughters: for the children of Israel have sworn, saying, Cursed [be] he that giveth a wife to Benjamin.
Judges 21:19	Then they said, Behold, [there is] a feast of the LORD in Shiloh yearly [in a place] which [is] on the north side of Bethel, on the east side of the highway that goeth up from Bethel to Shechem, and on the south of Lebonah.
Judges 21:20	Therefore they commanded the children of Benjamin, saying, Go and lie in wait in the vineyards;
Judges 21:21	And see, and, behold, if the daughters of Shiloh come out to dance in dances, then come ye out of the vineyards, and catch you every man his wife of the daughters of Shiloh, and go to the land of Benjamin.
Judges 21:22	And it shall be, when their fathers or their brethren come unto us to complain, that we will say unto them, Be favourable unto them for our sakes: because we reserved not to each man his wife in the war: for ye did not give unto them at this time, [that] ye should be guilty.
Judges 21:23	And the children of Benjamin did so, and took [them] wives, according to their number, of them that danced, whom they caught: and they went and returned unto their inheritance, and repaired the cities, and dwelt in them.
Judges 21:24	And the children of Israel departed thence at that time, every man to his tribe and to his family, and they went out from thence every man to his inheritance.
Judges 21:25	In those days [there was] no king in Israel: every man did [that which was] right in his own eyes.
Ruth 1:1	Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Bethlehemjudah went to sojourn in the country of Moab, he, and his wife, and his two sons.
Ruth 1:2	And the name of the man [was] Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Bethlehemjudah. And they came into the country of Moab, and continued there.
Ruth 1:3	And Elimelech Naomi’s husband died; and she was left, and her two sons.
Ruth 1:4	And they took them wives of the women of Moab; the name of the one [was] Orpah, and the name of the other Ruth: and they dwelled there about ten years.
Ruth 1:5	And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband.
Ruth 1:6	Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the LORD had visited his people in giving them bread.
Ruth 1:7	Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.
Ruth 1:8	And Naomi said unto her two daughters in law, Go, return each to her mother’s house: the LORD deal kindly with you, as ye have dealt with the dead, and with me.
Ruth 1:9	The LORD grant you that ye may find rest, each [of you] in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.
Ruth 1:10	And they said unto her, Surely we will return with thee unto thy people.
Ruth 1:11	And Naomi said, Turn again, my daughters: why will ye go with me? [are] there yet [any more] sons in my womb, that they may be your husbands?
Ruth 1:12	Turn again, my daughters, go [your way]; for I am too old to have an husband. If I should say, I have hope, [if] I should have an husband also to night, and should also bear sons;
Ruth 1:13	Would ye tarry for them till they were grown? would ye stay for them from having husbands? nay, my daughters; for it grieveth me much for your sakes that the hand of the LORD is gone out against me.
Ruth 1:14	And they lifted up their voice, and wept again: and Orpah kissed her mother in law; but Ruth clave unto her.
Ruth 1:15	And she said, Behold, thy sister in law is gone back unto her people, and unto her gods: return thou after thy sister in law.
Ruth 1:16	And Ruth said, Intreat me not to leave thee, [or] to return from following after thee: for whither thou goest, I will go; and where thou lodgest, I will lodge: thy people [shall be] my people, and thy God my God:
Ruth 1:17	Where thou diest, will I die, and there will I be buried: the LORD do so to me, and more also, [if ought] but death part thee and me.
Ruth 1:18	When she saw that she was stedfastly minded to go with her, then she left speaking unto her.
Ruth 1:19	So they two went until they came to Bethlehem. And it came to pass, when they were come to Bethlehem, that all the city was moved about them, and they said, [Is] this Naomi?
Ruth 1:20	And she said unto them, Call me not Naomi, call me Mara: for the Almighty hath dealt very bitterly with me.
Ruth 1:21	I went out full, and the LORD hath brought me home again empty: why [then] call ye me Naomi, seeing the LORD hath testified against me, and the Almighty hath afflicted me?
Ruth 1:22	So Naomi returned, and Ruth the Moabitess, her daughter in law, with her, which returned out of the country of Moab: and they came to Bethlehem in the beginning of barley harvest.
Ruth 2:1	And Naomi had a kinsman of her husband’s, a mighty man of wealth, of the family of Elimelech; and his name [was] Boaz.
Ruth 2:2	And Ruth the Moabitess said unto Naomi, Let me now go to the field, and glean ears of corn after [him] in whose sight I shall find grace. And she said unto her, Go, my daughter.
Ruth 2:3	And she went, and came, and gleaned in the field after the reapers: and her hap was to light on a part of the field [belonging] unto Boaz, who [was] of the kindred of Elimelech.
Ruth 2:4	And, behold, Boaz came from Bethlehem, and said unto the reapers, The LORD [be] with you. And they answered him, The LORD bless thee.
Ruth 2:5	Then said Boaz unto his servant that was set over the reapers, Whose damsel [is] this?
Ruth 2:6	And the servant that was set over the reapers answered and said, It [is] the Moabitish damsel that came back with Naomi out of the country of Moab:
Ruth 2:7	And she said, I pray you, let me glean and gather after the reapers among the sheaves: so she came, and hath continued even from the morning until now, that she tarried a little in the house.
Ruth 2:8	Then said Boaz unto Ruth, Hearest thou not, my daughter? Go not to glean in another field, neither go from hence, but abide here fast by my maidens:
Ruth 2:9	[Let] thine eyes [be] on the field that they do reap, and go thou after them: have I not charged the young men that they shall not touch thee? and when thou art athirst, go unto the vessels, and drink of [that] which the young men have drawn.
Ruth 2:10	Then she fell on her face, and bowed herself to the ground, and said unto him, Why have I found grace in thine eyes, that thou shouldest take knowledge of me, seeing I [am] a stranger?
Ruth 2:11	And Boaz answered and said unto her, It hath fully been shewed me, all that thou hast done unto thy mother in law since the death of thine husband: and [how] thou hast left thy father and thy mother, and the land of thy nativity, and art come unto a people which thou knewest not heretofore.
Ruth 2:12	The LORD recompense thy work, and a full reward be given thee of the LORD God of Israel, under whose wings thou art come to trust.
Ruth 2:13	Then she said, Let me find favour in thy sight, my lord; for that thou hast comforted me, and for that thou hast spoken friendly unto thine handmaid, though I be not like unto one of thine handmaidens.
Ruth 2:14	And Boaz said unto her, At mealtime come thou hither, and eat of the bread, and dip thy morsel in the vinegar. And she sat beside the reapers: and he reached her parched [corn], and she did eat, and was sufficed, and left.
Ruth 2:15	And when she was risen up to glean, Boaz commanded his young men, saying, Let her glean even among the sheaves, and reproach her not:
Ruth 2:16	And let fall also [some] of the handfuls of purpose for her, and leave [them], that she may glean [them], and rebuke her not.
Ruth 2:17	So she gleaned in the field until even, and beat out that she had gleaned: and it was about an ephah of barley.
Ruth 2:18	And she took [it] up, and went into the city: and her mother in law saw what she had gleaned: and she brought forth, and gave to her that she had reserved after she was sufficed.
Ruth 2:19	And her mother in law said unto her, Where hast thou gleaned to day? and where wroughtest thou? blessed be he that did take knowledge of thee. And she shewed her mother in law with whom she had wrought, and said, The man’s name with whom I wrought to day [is] Boaz.
Ruth 2:20	And Naomi said unto her daughter in law, Blessed [be] he of the LORD, who hath not left off his kindness to the living and to the dead. And Naomi said unto her, The man [is] near of kin unto us, one of our next kinsmen.
Ruth 2:21	And Ruth the Moabitess said, He said unto me also, Thou shalt keep fast by my young men, until they have ended all my harvest.
Ruth 2:22	And Naomi said unto Ruth her daughter in law, [It is] good, my daughter, that thou go out with his maidens, that they meet thee not in any other field.
Ruth 2:23	So she kept fast by the maidens of Boaz to glean unto the end of barley harvest and of wheat harvest; and dwelt with her mother in law.
Ruth 3:1	Then Naomi her mother in law said unto her, My daughter, shall I not seek rest for thee, that it may be well with thee?
Ruth 3:2	And now [is] not Boaz of our kindred, with whose maidens thou wast? Behold, he winnoweth barley to night in the threshingfloor.
Ruth 3:3	Wash thyself therefore, and anoint thee, and put thy raiment upon thee, and get thee down to the floor: [but] make not thyself known unto the man, until he shall have done eating and drinking.
Ruth 3:4	And it shall be, when he lieth down, that thou shalt mark the place where he shall lie, and thou shalt go in, and uncover his feet, and lay thee down; and he will tell thee what thou shalt do.
Ruth 3:5	And she said unto her, All that thou sayest unto me I will do.
Ruth 3:6	And she went down unto the floor, and did according to all that her mother in law bade her.
Ruth 3:7	And when Boaz had eaten and drunk, and his heart was merry, he went to lie down at the end of the heap of corn: and she came softly, and uncovered his feet, and laid her down.
Ruth 3:8	And it came to pass at midnight, that the man was afraid, and turned himself: and, behold, a woman lay at his feet.
Ruth 3:9	And he said, Who [art] thou? And she answered, I [am] Ruth thine handmaid: spread therefore thy skirt over thine handmaid; for thou [art] a near kinsman.
Ruth 3:10	And he said, Blessed [be] thou of the LORD, my daughter: [for] thou hast shewed more kindness in the latter end than at the beginning, inasmuch as thou followedst not young men, whether poor or rich.
Ruth 3:11	And now, my daughter, fear not; I will do to thee all that thou requirest: for all the city of my people doth know that thou [art] a virtuous woman.
Ruth 3:12	And now it is true that I [am thy] near kinsman: howbeit there is a kinsman nearer than I.
Ruth 3:13	Tarry this night, and it shall be in the morning, [that] if he will perform unto thee the part of a kinsman, well; let him do the kinsman’s part: but if he will not do the part of a kinsman to thee, then will I do the part of a kinsman to thee, [as] the LORD liveth: lie down until the morning.
Ruth 3:14	And she lay at his feet until the morning: and she rose up before one could know another. And he said, Let it not be known that a woman came into the floor.
Ruth 3:15	Also he said, Bring the vail that [thou hast] upon thee, and hold it. And when she held it, he measured six [measures] of barley, and laid [it] on her: and she went into the city.
Ruth 3:16	And when she came to her mother in law, she said, Who [art] thou, my daughter? And she told her all that the man had done to her.
Ruth 3:17	And she said, These six [measures] of barley gave he me; for he said to me, Go not empty unto thy mother in law.
Ruth 3:18	Then said she, Sit still, my daughter, until thou know how the matter will fall: for the man will not be in rest, until he have finished the thing this day.
Ruth 4:1	Then went Boaz up to the gate, and sat him down there: and, behold, the kinsman of whom Boaz spake came by; unto whom he said, Ho, such a one! turn aside, sit down here. And he turned aside, and sat down.
Ruth 4:2	And he took ten men of the elders of the city, and said, Sit ye down here. And they sat down.
Ruth 4:3	And he said unto the kinsman, Naomi, that is come again out of the country of Moab, selleth a parcel of land, which [was] our brother Elimelech’s:
Ruth 4:4	And I thought to advertise thee, saying, Buy [it] before the inhabitants, and before the elders of my people. If thou wilt redeem [it], redeem [it]: but if thou wilt not redeem [it, then] tell me, that I may know: for [there is] none to redeem [it] beside thee; and I [am] after thee. And he said, I will redeem [it].
Ruth 4:5	Then said Boaz, What day thou buyest the field of the hand of Naomi, thou must buy [it] also of Ruth the Moabitess, the wife of the dead, to raise up the name of the dead upon his inheritance.
Ruth 4:6	And the kinsman said, I cannot redeem [it] for myself, lest I mar mine own inheritance: redeem thou my right to thyself; for I cannot redeem [it].
Ruth 4:7	Now this [was the manner] in former time in Israel concerning redeeming and concerning changing, for to confirm all things; a man plucked off his shoe, and gave [it] to his neighbour: and this [was] a testimony in Israel.
Ruth 4:8	Therefore the kinsman said unto Boaz, Buy [it] for thee. So he drew off his shoe.
Ruth 4:9	And Boaz said unto the elders, and [unto] all the people, Ye [are] witnesses this day, that I have bought all that [was] Elimelech’s, and all that [was] Chilion’s and Mahlon’s, of the hand of Naomi.
Ruth 4:10	Moreover Ruth the Moabitess, the wife of Mahlon, have I purchased to be my wife, to raise up the name of the dead upon his inheritance, that the name of the dead be not cut off from among his brethren, and from the gate of his place: ye [are] witnesses this day.
Ruth 4:11	And all the people that [were] in the gate, and the elders, said, [We are] witnesses. The LORD make the woman that is come into thine house like Rachel and like Leah, which two did build the house of Israel: and do thou worthily in Ephratah, and be famous in Bethlehem:
Ruth 4:12	And let thy house be like the house of Pharez, whom Tamar bare unto Judah, of the seed which the LORD shall give thee of this young woman.
Ruth 4:13	So Boaz took Ruth, and she was his wife: and when he went in unto her, the LORD gave her conception, and she bare a son.
Ruth 4:14	And the women said unto Naomi, Blessed [be] the LORD, which hath not left thee this day without a kinsman, that his name may be famous in Israel.
Ruth 4:15	And he shall be unto thee a restorer of [thy] life, and a nourisher of thine old age: for thy daughter in law, which loveth thee, which is better to thee than seven sons, hath born him.
Ruth 4:16	And Naomi took the child, and laid it in her bosom, and became nurse unto it.
Ruth 4:17	And the women her neighbours gave it a name, saying, There is a son born to Naomi; and they called his name Obed: he [is] the father of Jesse, the father of David.
Ruth 4:18	Now these [are] the generations of Pharez: Pharez begat Hezron,
Ruth 4:19	And Hezron begat Ram, and Ram begat Amminadab,
Ruth 4:20	And Amminadab begat Nahshon, and Nahshon begat Salmon,
Ruth 4:21	And Salmon begat Boaz, and Boaz begat Obed,
Ruth 4:22	And Obed begat Jesse, and Jesse begat David.
1 Samuel 1:1	Now there was a certain man of Ramathaimzophim, of mount Ephraim, and his name [was] Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephrathite:
1 Samuel 1:2	And he had two wives; the name of the one [was] Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children.
1 Samuel 1:3	And this man went up out of his city yearly to worship and to sacrifice unto the LORD of hosts in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the LORD, [were] there.
1 Samuel 1:4	And when the time was that Elkanah offered, he gave to Peninnah his wife, and to all her sons and her daughters, portions:
1 Samuel 1:5	But unto Hannah he gave a worthy portion; for he loved Hannah: but the LORD had shut up her womb.
1 Samuel 1:6	And her adversary also provoked her sore, for to make her fret, because the LORD had shut up her womb.
1 Samuel 1:7	And [as] he did so year by year, when she went up to the house of the LORD, so she provoked her; therefore she wept, and did not eat.
1 Samuel 1:8	Then said Elkanah her husband to her, Hannah, why weepest thou? and why eatest thou not? and why is thy heart grieved? [am] not I better to thee than ten sons?
1 Samuel 1:9	So Hannah rose up after they had eaten in Shiloh, and after they had drunk. Now Eli the priest sat upon a seat by a post of the temple of the LORD.
1 Samuel 1:10	And she [was] in bitterness of soul, and prayed unto the LORD, and wept sore.
1 Samuel 1:11	And she vowed a vow, and said, O LORD of hosts, if thou wilt indeed look on the affliction of thine handmaid, and remember me, and not forget thine handmaid, but wilt give unto thine handmaid a man child, then I will give him unto the LORD all the days of his life, and there shall no rasor come upon his head.
1 Samuel 1:12	And it came to pass, as she continued praying before the LORD, that Eli marked her mouth.
1 Samuel 1:13	Now Hannah, she spake in her heart; only her lips moved, but her voice was not heard: therefore Eli thought she had been drunken.
1 Samuel 1:14	And Eli said unto her, How long wilt thou be drunken? put away thy wine from thee.
1 Samuel 1:15	And Hannah answered and said, No, my lord, I [am] a woman of a sorrowful spirit: I have drunk neither wine nor strong drink, but have poured out my soul before the LORD.
