Genesis 31:15	Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.
Exodus 4:20	And Moses took his wife and his sons, and set them upon an ass, and he returned to the land of Egypt: and Moses took the rod of God in his hand.
Exodus 4:21	And the LORD said unto Moses, When thou goest to return into Egypt, see that thou do all those wonders before Pharaoh, which I have put in thine hand: but I will harden his heart, that he shall not let the people go.
Exodus 4:22	And thou shalt say unto Pharaoh, Thus saith the LORD, Israel [is] my son, [even] my firstborn:
Exodus 4:23	And I say unto thee, Let my son go, that he may serve me: and if thou refuse to let him go, behold, I will slay thy son, [even] thy firstborn.
Exodus 4:24	And it came to pass by the way in the inn, that the LORD met him, and sought to kill him.
Exodus 4:25	Then Zipporah took a sharp stone, and cut off the foreskin of her son, and cast [it] at his feet, and said, Surely a bloody husband [art] thou to me.
Exodus 4:26	So he let him go: then she said, A bloody husband [thou art], because of the circumcision.
Exodus 4:27	And the LORD said to Aaron, Go into the wilderness to meet Moses. And he went, and met him in the mount of God, and kissed him.
Exodus 4:28	And Moses told Aaron all the words of the LORD who had sent him, and all the signs which he had commanded him.
Exodus 4:29	And Moses and Aaron went and gathered together all the elders of the children of Israel:
Exodus 4:30	And Aaron spake all the words which the LORD had spoken unto Moses, and did the signs in the sight of the people.
Exodus 4:31	And the people believed: and when they heard that the LORD had visited the children of Israel, and that he had looked upon their affliction, then they bowed their heads and worshipped.
Exodus 5:1	And afterward Moses and Aaron went in, and told Pharaoh, Thus saith the LORD God of Israel, Let my people go, that they may hold a feast unto me in the wilderness.
Exodus 5:2	And Pharaoh said, Who [is] the LORD, that I should obey his voice to let Israel go? I know not the LORD, neither will I let Israel go.
Exodus 5:3	And they said, The God of the Hebrews hath met with us: let us go, we pray thee, three days’ journey into the desert, and sacrifice unto the LORD our God; lest he fall upon us with pestilence, or with the sword.
Exodus 5:4	And the king of Egypt said unto them, Wherefore do ye, Moses and Aaron, let the people from their works? get you unto your burdens.
Exodus 5:5	And Pharaoh said, Behold, the people of the land now [are] many, and ye make them rest from their burdens.
Exodus 5:6	And Pharaoh commanded the same day the taskmasters of the people, and their officers, saying,
Exodus 5:7	Ye shall no more give the people straw to make brick, as heretofore: let them go and gather straw for themselves.
Exodus 5:8	And the tale of the bricks, which they did make heretofore, ye shall lay upon them; ye shall not diminish [ought] thereof: for they [be] idle; therefore they cry, saying, Let us go [and] sacrifice to our God.
Exodus 5:9	Let there more work be laid upon the men, that they may labour therein; and let them not regard vain words.
Exodus 5:10	And the taskmasters of the people went out, and their officers, and they spake to the people, saying, Thus saith Pharaoh, I will not give you straw.
Exodus 5:11	Go ye, get you straw where ye can find it: yet not ought of your work shall be diminished.
Exodus 5:12	So the people were scattered abroad throughout all the land of Egypt to gather stubble instead of straw.
Exodus 5:13	And the taskmasters hasted [them], saying, Fulfil your works, [your] daily tasks, as when there was straw.
Exodus 5:14	And the officers of the children of Israel, which Pharaoh’s taskmasters had set over them, were beaten, [and] demanded, Wherefore have ye not fulfilled your task in making brick both yesterday and to day, as heretofore?
Exodus 5:15	Then the officers of the children of Israel came and cried unto Pharaoh, saying, Wherefore dealest thou thus with thy servants?
Exodus 5:16	There is no straw given unto thy servants, and they say to us, Make brick: and, behold, thy servants [are] beaten; but the fault [is] in thine own people.
Exodus 5:17	But he said, Ye [are] idle, [ye are] idle: therefore ye say, Let us go [and] do sacrifice to the LORD.
Exodus 5:18	Go therefore now, [and] work; for there shall no straw be given you, yet shall ye deliver the tale of bricks.
Exodus 5:19	And the officers of the children of Israel did see [that] they [were] in evil [case], after it was said, Ye shall not minish [ought] from your bricks of your daily task.
Exodus 5:20	And they met Moses and Aaron, who stood in the way, as they came forth from Pharaoh:
Exodus 5:21	And they said unto them, The LORD look upon you, and judge; because ye have made our savour to be abhorred in the eyes of Pharaoh, and in the eyes of his servants, to put a sword in their hand to slay us.
Exodus 5:22	And Moses returned unto the LORD, and said, Lord, wherefore hast thou [so] evil entreated this people? why [is] it [that] thou hast sent me?
Exodus 5:23	For since I came to Pharaoh to speak in thy name, he hath done evil to this people; neither hast thou delivered thy people at all.
Exodus 6:1	Then the LORD said unto Moses, Now shalt thou see what I will do to Pharaoh: for with a strong hand shall he let them go, and with a strong hand shall he drive them out of his land.
Exodus 6:2	And God spake unto Moses, and said unto him, I [am] the LORD:
Exodus 6:3	And I appeared unto Abraham, unto Isaac, and unto Jacob, by [the name of] God Almighty, but by my name JEHOVAH was I not known to them.
Exodus 6:4	And I have also established my covenant with them, to give them the land of Canaan, the land of their pilgrimage, wherein they were strangers.
Exodus 6:5	And I have also heard the groaning of the children of Israel, whom the Egyptians keep in bondage; and I have remembered my covenant.
Exodus 6:6	Wherefore say unto the children of Israel, I [am] the LORD, and I will bring you out from under the burdens of the Egyptians, and I will rid you out of their bondage, and I will redeem you with a stretched out arm, and with great judgments:
Exodus 6:7	And I will take you to me for a people, and I will be to you a God: and ye shall know that I [am] the LORD your God, which bringeth you out from under the burdens of the Egyptians.
Exodus 6:8	And I will bring you in unto the land, concerning the which I did swear to give it to Abraham, to Isaac, and to Jacob; and I will give it you for an heritage: I [am] the LORD.
Exodus 6:9	And Moses spake so unto the children of Israel: but they hearkened not unto Moses for anguish of spirit, and for cruel bondage.
Exodus 6:10	And the LORD spake unto Moses, saying,
Exodus 6:11	Go in, speak unto Pharaoh king of Egypt, that he let the children of Israel go out of his land.
Exodus 6:12	And Moses spake before the LORD, saying, Behold, the children of Israel have not hearkened unto me; how then shall Pharaoh hear me, who [am] of uncircumcised lips?
Exodus 6:13	And the LORD spake unto Moses and unto Aaron, and gave them a charge unto the children of Israel, and unto Pharaoh king of Egypt, to bring the children of Israel out of the land of Egypt.
Exodus 6:14	These [be] the heads of their fathers’ houses: The sons of Reuben the firstborn of Israel; Hanoch, and Pallu, Hezron, and Carmi: these [be] the families of Reuben.
Exodus 6:15	And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman: these [are] the families of Simeon.
Exodus 6:16	And these [are] the names of the sons of Levi according to their generations; Gershon, and Kohath, and Merari: and the years of the life of Levi [were] an hundred thirty and seven years.
Exodus 6:17	The sons of Gershon; Libni, and Shimi, according to their families.
Exodus 6:18	And the sons of Kohath; Amram, and Izhar, and Hebron, and Uzziel: and the years of the life of Kohath [were] an hundred thirty and three years.
Exodus 6:19	And the sons of Merari; Mahali and Mushi: these [are] the families of Levi according to their generations.
Exodus 6:20	And Amram took him Jochebed his father’s sister to wife; and she bare him Aaron and Moses: and the years of the life of Amram [were] an hundred and thirty and seven years.
Exodus 6:21	And the sons of Izhar; Korah, and Nepheg, and Zichri.
Exodus 6:22	And the sons of Uzziel; Mishael, and Elzaphan, and Zithri.
Exodus 6:23	And Aaron took him Elisheba, daughter of Amminadab, sister of Naashon, to wife; and she bare him Nadab, and Abihu, Eleazar, and Ithamar.
Exodus 6:24	And the sons of Korah; Assir, and Elkanah, and Abiasaph: these [are] the families of the Korhites.
Exodus 6:25	And Eleazar Aaron’s son took him [one] of the daughters of Putiel to wife; and she bare him Phinehas: these [are] the heads of the fathers of the Levites according to their families.
Exodus 6:26	These [are] that Aaron and Moses, to whom the LORD said, Bring out the children of Israel from the land of Egypt according to their armies.
Exodus 6:27	These [are] they which spake to Pharaoh king of Egypt, to bring out the children of Israel from Egypt: these [are] that Moses and Aaron.
Exodus 6:28	And it came to pass on the day [when] the LORD spake unto Moses in the land of Egypt,
Exodus 6:29	That the LORD spake unto Moses, saying, I [am] the LORD: speak thou unto Pharaoh king of Egypt all that I say unto thee.
Exodus 6:30	And Moses said before the LORD, Behold, I [am] of uncircumcised lips, and how shall Pharaoh hearken unto me?
Exodus 7:1	And the LORD said unto Moses, See, I have made thee a god to Pharaoh: and Aaron thy brother shall be thy prophet.
Exodus 7:2	Thou shalt speak all that I command thee: and Aaron thy brother shall speak unto Pharaoh, that he send the children of Israel out of his land.
Exodus 7:3	And I will harden Pharaoh’s heart, and multiply my signs and my wonders in the land of Egypt.
Exodus 7:4	But Pharaoh shall not hearken unto you, that I may lay my hand upon Egypt, and bring forth mine armies, [and] my people the children of Israel, out of the land of Egypt by great judgments.
Exodus 7:5	And the Egyptians shall know that I [am] the LORD, when I stretch forth mine hand upon Egypt, and bring out the children of Israel from among them.
Exodus 7:6	And Moses and Aaron did as the LORD commanded them, so did they.
Exodus 7:7	And Moses [was] fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.
Exodus 7:8	And the LORD spake unto Moses and unto Aaron, saying,
Exodus 7:9	When Pharaoh shall speak unto you, saying, Shew a miracle for you: then thou shalt say unto Aaron, Take thy rod, and cast [it] before Pharaoh, [and] it shall become a serpent.
Exodus 7:10	And Moses and Aaron went in unto Pharaoh, and they did so as the LORD had commanded: and Aaron cast down his rod before Pharaoh, and before his servants, and it became a serpent.
Exodus 7:11	Then Pharaoh also called the wise men and the sorcerers: now the magicians of Egypt, they also did in like manner with their enchantments.
Exodus 7:12	For they cast down every man his rod, and they became serpents: but Aaron’s rod swallowed up their rods.
Exodus 7:13	And he hardened Pharaoh’s heart, that he hearkened not unto them; as the LORD had said.
Exodus 7:14	And the LORD said unto Moses, Pharaoh’s heart [is] hardened, he refuseth to let the people go.
Exodus 7:15	Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river’s brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand.
Exodus 7:16	And thou shalt say unto him, The LORD God of the Hebrews hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness: and, behold, hitherto thou wouldest not hear.
Exodus 7:17	Thus saith the LORD, In this thou shalt know that I [am] the LORD: behold, I will smite with the rod that [is] in mine hand upon the waters which [are] in the river, and they shall be turned to blood.
Exodus 7:18	And the fish that [is] in the river shall die, and the river shall stink; and the Egyptians shall lothe to drink of the water of the river.
Exodus 7:19	And the LORD spake unto Moses, Say unto Aaron, Take thy rod, and stretch out thine hand upon the waters of Egypt, upon their streams, upon their rivers, and upon their ponds, and upon all their pools of water, that they may become blood; and [that] there may be blood throughout all the land of Egypt, both in [vessels of] wood, and in [vessels of] stone.
Exodus 7:20	And Moses and Aaron did so, as the LORD commanded; and he lifted up the rod, and smote the waters that [were] in the river, in the sight of Pharaoh, and in the sight of his servants; and all the waters that [were] in the river were turned to blood.
Exodus 7:21	And the fish that [was] in the river died; and the river stank, and the Egyptians could not drink of the water of the river; and there was blood throughout all the land of Egypt.
Exodus 7:22	And the magicians of Egypt did so with their enchantments: and Pharaoh’s heart was hardened, neither did he hearken unto them; as the LORD had said.
Exodus 7:23	And Pharaoh turned and went into his house, neither did he set his heart to this also.
Exodus 7:24	And all the Egyptians digged round about the river for water to drink; for they could not drink of the water of the river.
Exodus 7:25	And seven days were fulfilled, after that the LORD had smitten the river.
Exodus 8:1	And the LORD spake unto Moses, Go unto Pharaoh, and say unto him, Thus saith the LORD, Let my people go, that they may serve me.
Exodus 8:2	And if thou refuse to let [them] go, behold, I will smite all thy borders with frogs:
Exodus 8:3	And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the house of thy servants, and upon thy people, and into thine ovens, and into thy kneadingtroughs:
Exodus 8:4	And the frogs shall come up both on thee, and upon thy people, and upon all thy servants.
Exodus 8:5	And the LORD spake unto Moses, Say unto Aaron, Stretch forth thine hand with thy rod over the streams, over the rivers, and over the ponds, and cause frogs to come up upon the land of Egypt.
Exodus 8:6	And Aaron stretched out his hand over the waters of Egypt; and the frogs came up, and covered the land of Egypt.
Exodus 8:7	And the magicians did so with their enchantments, and brought up frogs upon the land of Egypt.
Exodus 8:8	Then Pharaoh called for Moses and Aaron, and said, Intreat the LORD, that he may take away the frogs from me, and from my people; and I will let the people go, that they may do sacrifice unto the LORD.
Exodus 8:9	And Moses said unto Pharaoh, Glory over me: when shall I intreat for thee, and for thy servants, and for thy people, to destroy the frogs from thee and thy houses, [that] they may remain in the river only?
Exodus 8:10	And he said, To morrow. And he said, [Be it] according to thy word: that thou mayest know that [there is] none like unto the LORD our God.
Exodus 8:11	And the frogs shall depart from thee, and from thy houses, and from thy servants, and from thy people; they shall remain in the river only.
Exodus 8:12	And Moses and Aaron went out from Pharaoh: and Moses cried unto the LORD because of the frogs which he had brought against Pharaoh.
Exodus 8:13	And the LORD did according to the word of Moses; and the frogs died out of the houses, out of the villages, and out of the fields.
Exodus 8:14	And they gathered them together upon heaps: and the land stank.
Exodus 8:15	But when Pharaoh saw that there was respite, he hardened his heart, and hearkened not unto them; as the LORD had said.
Exodus 8:16	And the LORD said unto Moses, Say unto Aaron, Stretch out thy rod, and smite the dust of the land, that it may become lice throughout all the land of Egypt.
Exodus 8:17	And they did so; for Aaron stretched out his hand with his rod, and smote the dust of the earth, and it became lice in man, and in beast; all the dust of the land became lice throughout all the land of Egypt.
Exodus 8:18	And the magicians did so with their enchantments to bring forth lice, but they could not: so there were lice upon man, and upon beast.
Exodus 8:19	Then the magicians said unto Pharaoh, This [is] the finger of God: and Pharaoh’s heart was hardened, and he hearkened not unto them; as the LORD had said.
Exodus 8:20	And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh; lo, he cometh forth to the water; and say unto him, Thus saith the LORD, Let my people go, that they may serve me.
Exodus 8:21	Else, if thou wilt not let my people go, behold, I will send swarms [of flies] upon thee, and upon thy servants, and upon thy people, and into thy houses: and the houses of the Egyptians shall be full of swarms [of flies], and also the ground whereon they [are].
Exodus 8:22	And I will sever in that day the land of Goshen, in which my people dwell, that no swarms [of flies] shall be there; to the end thou mayest know that I [am] the LORD in the midst of the earth.
Exodus 8:23	And I will put a division between my people and thy people: to morrow shall this sign be.
Exodus 8:24	And the LORD did so; and there came a grievous swarm [of flies] into the house of Pharaoh, and [into] his servants’ houses, and into all the land of Egypt: the land was corrupted by reason of the swarm [of flies].
Exodus 8:25	And Pharaoh called for Moses and for Aaron, and said, Go ye, sacrifice to your God in the land.
Exodus 8:26	And Moses said, It is not meet so to do; for we shall sacrifice the abomination of the Egyptians to the LORD our God: lo, shall we sacrifice the abomination of the Egyptians before their eyes, and will they not stone us?
Exodus 8:27	We will go three days’ journey into the wilderness, and sacrifice to the LORD our God, as he shall command us.
Exodus 8:28	And Pharaoh said, I will let you go, that ye may sacrifice to the LORD your God in the wilderness; only ye shall not go very far away: intreat for me.
Exodus 8:29	And Moses said, Behold, I go out from thee, and I will intreat the LORD that the swarms [of flies] may depart from Pharaoh, from his servants, and from his people, to morrow: but let not Pharaoh deal deceitfully any more in not letting the people go to sacrifice to the LORD.
Exodus 8:30	And Moses went out from Pharaoh, and intreated the LORD.
Exodus 8:31	And the LORD did according to the word of Moses; and he removed the swarms [of flies] from Pharaoh, from his servants, and from his people; there remained not one.
Exodus 8:32	And Pharaoh hardened his heart at this time also, neither would he let the people go.
Exodus 9:1	Then the LORD said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.
Exodus 9:2	For if thou refuse to let [them] go, and wilt hold them still,
Exodus 9:3	Behold, the hand of the LORD is upon thy cattle which [is] in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep: [there shall be] a very grievous murrain.
Exodus 9:4	And the LORD shall sever between the cattle of Israel and the cattle of Egypt: and there shall nothing die of all [that is] the children’s of Israel.
Exodus 9:5	And the LORD appointed a set time, saying, To morrow the LORD shall do this thing in the land.
Exodus 9:6	And the LORD did that thing on the morrow, and all the cattle of Egypt died: but of the cattle of the children of Israel died not one.
Exodus 9:7	And Pharaoh sent, and, behold, there was not one of the cattle of the Israelites dead. And the heart of Pharaoh was hardened, and he did not let the people go.
Exodus 9:8	And the LORD said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh.
Exodus 9:9	And it shall become small dust in all the land of Egypt, and shall be a boil breaking forth [with] blains upon man, and upon beast, throughout all the land of Egypt.
Exodus 9:10	And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth [with] blains upon man, and upon beast.
Exodus 9:11	And the magicians could not stand before Moses because of the boils; for the boil was upon the magicians, and upon all the Egyptians.
Exodus 9:12	And the LORD hardened the heart of Pharaoh, and he hearkened not unto them; as the LORD had spoken unto Moses.
Exodus 9:13	And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh, and say unto him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.
Exodus 9:14	For I will at this time send all my plagues upon thine heart, and upon thy servants, and upon thy people; that thou mayest know that [there is] none like me in all the earth.
Exodus 9:15	For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and thou shalt be cut off from the earth.
Exodus 9:16	And in very deed for this [cause] have I raised thee up, for to shew [in] thee my power; and that my name may be declared throughout all the earth.
Exodus 9:17	As yet exaltest thou thyself against my people, that thou wilt not let them go?
Exodus 9:18	Behold, to morrow about this time I will cause it to rain a very grievous hail, such as hath not been in Egypt since the foundation thereof even until now.
Exodus 9:19	Send therefore now, [and] gather thy cattle, and all that thou hast in the field; [for upon] every man and beast which shall be found in the field, and shall not be brought home, the hail shall come down upon them, and they shall die.
Exodus 9:20	He that feared the word of the LORD among the servants of Pharaoh made his servants and his cattle flee into the houses:
Exodus 9:21	And he that regarded not the word of the LORD left his servants and his cattle in the field.
Exodus 9:22	And the LORD said unto Moses, Stretch forth thine hand toward heaven, that there may be hail in all the land of Egypt, upon man, and upon beast, and upon every herb of the field, throughout the land of Egypt.
Exodus 9:23	And Moses stretched forth his rod toward heaven: and the LORD sent thunder and hail, and the fire ran along upon the ground; and the LORD rained hail upon the land of Egypt.
Exodus 9:24	So there was hail, and fire mingled with the hail, very grievous, such as there was none like it in all the land of Egypt since it became a nation.
Exodus 9:25	And the hail smote throughout all the land of Egypt all that [was] in the field, both man and beast; and the hail smote every herb of the field, and brake every tree of the field.
Exodus 9:26	Only in the land of Goshen, where the children of Israel [were], was there no hail.
Exodus 9:27	And Pharaoh sent, and called for Moses and Aaron, and said unto them, I have sinned this time: the LORD [is] righteous, and I and my people [are] wicked.
Exodus 9:28	Intreat the LORD (for [it is] enough) that there be no [more] mighty thunderings and hail; and I will let you go, and ye shall stay no longer.
Exodus 9:29	And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; [and] the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth [is] the LORD’S.
Exodus 9:30	But as for thee and thy servants, I know that ye will not yet fear the LORD God.
Exodus 9:31	And the flax and the barley was smitten: for the barley [was] in the ear, and the flax [was] bolled.
Exodus 9:32	But the wheat and the rie were not smitten: for they [were] not grown up.
Exodus 9:33	And Moses went out of the city from Pharaoh, and spread abroad his hands unto the LORD: and the thunders and hail ceased, and the rain was not poured upon the earth.
